id,question,reponse,categorie,mots_cles
1,L’UV-BF est-elle une université publique ou privée ?,"L’UV-BF est un établissement public de l’État burkinabè, à caractère scientifique, culturel et technique.",informations_generales,"uvbf;uv-bf;universite virtuelle;etablissement public;statut;juridique;publique;privee;ministere;mesri;mission;presentation;institution;profil;caractere scientifique;caractere technique;caractere culturel;université;universites"
2,Quelles formations propose l’UV-BF ?,"Trois programmes principaux : sciences du numérique, sciences fondamentales et sciences transversales, avec des parcours licence et master.",offre_formations,"formation;formations;programme;programmes;parcours;offre;catalogue;licence;licences;master;masters;l1;l2;l3;m1;m2;discipline;filiere;filieres;specialite;specialites;diplome;diplomes;curriculum"
3,Quelles sont les conditions d’accès à l’UV-BF ?,"Les bacheliers orientés par le ministère peuvent s’inscrire. Des appels à candidature sont aussi ouverts selon les filières.",admission,"condition;conditions;admission;admissions;orientation;orientes;oriente;appel;appels;candidature;candidatures;eligibilite;critere;criteres;dossier;inscription administrative;inscription pedagogique;pre-requis;prerequis;calendrier admission"
4,Comment se déroulent les cours à l’UV-BF ?,"Les enseignements se font surtout à distance via une plateforme LMS, avec activités synchrones et asynchrones. Des regroupements en présentiel peuvent être requis.",modalites_enseignement,"cours;enseignement;enseignements;pedagogie;modalites;modalite;distance;en ligne;ligne;synchrone;synchrones;asynchrone;asynchrones;visioconference;regroupement;regroupements;presentiel;hybride;planning;cours en ligne;organisation"
5,Comment se déroulent les évaluations et examens ?,"Évaluations en ligne (40 %) et examens sur table en présentiel (60 %). Délibérations semestrielles.",examens,"examen;examens;evaluation;evaluations;controle continu;cc;qcm;sur table;presentiel;en ligne;session;sessions;rattrapage;deliberation;noter;notes;note;coef;coefficient;epreuve;epreuves;planification examen;convocation"
6,Les diplômes de l’UV-BF sont-ils reconnus par le CAMES ?,"Oui, les diplômes délivrés par l’UV-BF sont reconnus par le CAMES.",reconnaissance,"reconnu;reconnus;reconnaissance;accreditation;homologation;equivalence;visa;cames;valeur diplome;validation;titres;certification"
7,Comment accéder à la plateforme de formation ?,"Après l’inscription pédagogique, l’étudiant reçoit un identifiant et un mot de passe pour se connecter à la plateforme.",acces_plateforme,"plateforme;lms;moodle;identifiant;identifiants;login;connexion;connecter;se connecter;acces;accès;compte;authentification;portail;espace etudiant;code etudiant"
8,Que faire si j’ai perdu mon mot de passe ?,"Utiliser la fonction de réinitialisation disponible sur la page de connexion de la plateforme.",recuperation_compte,"mot de passe;mdp;reinitialisation;reinitialiser;reset;changer mot de passe;perdu;oublie;recuperation compte;desactivation;deblocage;compte bloque"
9,Que faire en cas de difficultés d’accès à la plateforme ?,"Signaler le problème au délégué ou responsable de filière. Un bot d’assistance UV-BF peut aussi guider.",assistance_acces,"assistance;support;helpdesk;aide;probleme acces;probleme connexion;difficulte;incident;ticket;contact;delegue;responsable filiere;hotline;email support"
10," ","Salut ! Posez votre question sur l’UV-BF (examens, accès plateforme, inscriptions, etc.).",salutation,"salut;bonjour;bonsoir;hello;bjr;bsr;coucou;hi;bon matin"
